,trade_day
1174,20091105
1175,20091106
1176,20091109
1177,20091110
1178,20091111
1179,20091112
1180,20091113
1181,20091116
1182,20091117
1183,20091118
1184,20091119
1185,20091120
1186,20091123
1187,20091124
1188,20091125
1189,20091126
1190,20091127
1191,20091130
1192,20091201
1193,20091202
1194,20091203
1195,20091204
1196,20091207
1197,20091208
1198,20091209
1199,20091210
1200,20091211
1201,20091214
1202,20091215
1203,20091216
1204,20091217
1205,20091218
1206,20091221
1207,20091222
1208,20091223
1209,20091224
1210,20091225
1211,20091228
1212,20091229
1213,20091230
1214,20091231
1215,20100104
1216,20100105
1217,20100106
1218,20100107
1219,20100108
1220,20100111
1221,20100112
1222,20100113
1223,20100114
1224,20100115
1225,20100118
1226,20100119
1227,20100120
1228,20100121
1229,20100122
1230,20100125
1231,20100126
1232,20100127
1233,20100128
1234,20100129
1235,20100201
1236,20100202
1237,20100203
1238,20100204
1239,20100205
1240,20100208
1241,20100209
1242,20100210
1243,20100211
1244,20100212
1245,20100222
1246,20100223
1247,20100224
1248,20100225
1249,20100226
1250,20100301
1251,20100302
1252,20100303
1253,20100304
1254,20100305
1255,20100308
1256,20100309
1257,20100310
1258,20100311
1259,20100312
1260,20100315
1261,20100316
1262,20100317
1263,20100318
1264,20100319
1265,20100322
1266,20100323
1267,20100324
1268,20100325
1269,20100326
1270,20100329
1271,20100330
1272,20100331
1273,20100401
1274,20100402
1275,20100406
1276,20100407
1277,20100408
1278,20100409
1279,20100412
1280,20100413
1281,20100414
1282,20100415
1283,20100416
1284,20100419
1285,20100420
1286,20100421
1287,20100422
1288,20100423
1289,20100426
1290,20100427
1291,20100428
1292,20100429
1293,20100430
1294,20100504
1295,20100505
1296,20100506
1297,20100507
1298,20100510
1299,20100511
1300,20100512
1301,20100513
1302,20100514
1303,20100517
1304,20100518
1305,20100519
1306,20100520
1307,20100521
1308,20100524
1309,20100525
1310,20100526
1311,20100527
1312,20100528
1313,20100531
1314,20100601
1315,20100602
1316,20100603
1317,20100604
1318,20100607
1319,20100608
1320,20100609
1321,20100610
1322,20100611
1323,20100617
1324,20100618
1325,20100621
1326,20100622
1327,20100623
1328,20100624
1329,20100625
1330,20100628
1331,20100629
1332,20100630
1333,20100701
1334,20100702
1335,20100705
1336,20100706
1337,20100707
1338,20100708
1339,20100709
1340,20100712
1341,20100713
1342,20100714
1343,20100715
1344,20100716
1345,20100719
1346,20100720
1347,20100721
1348,20100722
1349,20100723
1350,20100726
1351,20100727
1352,20100728
1353,20100729
1354,20100730
1355,20100802
1356,20100803
1357,20100804
1358,20100805
1359,20100806
1360,20100809
1361,20100810
1362,20100811
