,ANN_DT,REPORT_PERIOD,IFLISTED_DATA,OPER_REV,NET_PROFIT_INCL_MIN_INT_INC,NET_PROFIT_EXCL_MIN_INT_INC,TOT_SHRHLDR_EQY_EXCL_MIN_INT,TOT_SHRHLDR_EQY_INCL_MIN_INT,S_INFO_COMPNAME,S_INFO_COMPCODE,OPDATE,OPMODE,code
1609,20150508,20150430,1,606463100.0,245726200.0,245726200.0,10478653900.0,10478653900.0,国金证券股份有限公司,1600109,2015-09-16 17:42:18,0,600109.SH
1611,20150508,20150430,1,1027397300.0,591405000.0,591405000.0,14601159600.0,14601159600.0,长江证券股份有限公司,1000783,2015-09-16 17:43:05,0,000783.SZ
1612,20150508,20150430,1,485352000.0,253750900.0,253750900.0,17764878700.0,17764878700.0,国元证券股份有限公司,1000728,2015-09-16 17:43:19,0,000728.SZ
1613,20150508,20150430,1,817950000.0,360190000.0,360190000.0,9566130000.0,9566130000.0,东北证券股份有限公司,1000686,2015-09-16 17:43:27,0,000686.SZ
1614,20150509,20150430,1,656620000.0,326210000.0,326210000.0,12322670000.0,12322670000.0,东兴证券股份有限公司,1uI61F44C3,2015-09-16 17:42:18,0,601198.SH
1615,20150508,20150430,1,1107828500.0,388392000.0,388392000.0,17243192000.0,17243192000.0,西南证券股份有限公司,1600369,2015-09-16 17:42:56,0,600369.SH
1616,20150509,20150430,1,1671495600.0,837652400.0,837652400.0,27271273800.0,27271273800.0,光大证券股份有限公司,0yJ94AEF7F,2015-09-16 17:43:36,0,601788.SH
1621,20150509,20150430,1,1385951000.0,883981900.0,883981900.0,31502519100.0,31502519100.0,东方证券股份有限公司,2002156,2015-09-16 17:42:39,0,600958.SH
1622,20150908,20150831,1,217740000.0,91760000.0,91760000.0,10273810000.0,10273810000.0,东北证券股份有限公司,1000686,2015-09-16 17:43:37,0,000686.SZ
1624,20150908,20150831,1,906032600.0,270446500.0,270446500.0,15520570900.0,15520570900.0,长江证券股份有限公司,1000783,2015-09-16 17:43:13,0,000783.SZ
1625,20150908,20150831,1,132987500.0,53271800.0,53271800.0,8357272200.0,8357272200.0,山西证券股份有限公司,2002097,2015-09-16 17:42:46,0,002500.SZ
1627,20150908,20150831,1,314665500.0,117809900.0,117809900.0,15165137000.0,15165137000.0,东吴证券股份有限公司,2024609,2015-09-16 17:43:32,0,601555.SH
1628,20150908,20150831,1,254460000.0,111190000.0,111190000.0,12577700000.0,12577700000.0,东兴证券股份有限公司,1uI61F44C3,2015-09-16 17:42:56,0,601198.SH
1629,20150908,20150831,0,970150000.0,311070000.0,311070000.0,42019470000.0,42019470000.0,申万宏源证券有限公司,a1pXByJ0HN,2015-09-16 17:43:10,0,000166.SZ
1630,20150908,20150831,1,796874125.11,313316078.05,313316078.05,46439985500.0,46439985500.0,招商证券股份有限公司,2024359,2015-09-16 17:43:04,0,600999.SH
1633,20150908,20150831,1,611386800.0,304648500.0,304648500.0,33629335100.0,33629335100.0,方正证券股份有限公司,2002179,2015-09-16 17:43:16,0,601901.SH
1636,20150908,20150831,1,1980626728.08,649882691.27,649882691.27,69689920159.8,69689920159.8,广发证券股份有限公司,1000776,2015-09-16 17:43:33,0,000776.SZ
1638,20150908,20150831,1,1513743300.0,718550500.0,718550500.0,97870374800.0,97870374800.0,海通证券股份有限公司,1600837,2015-09-16 17:43:16,0,600837.SH
1640,20150908,20150831,1,2066120000.0,1034840000.0,1034840000.0,1.0665734e+11,1.0665734e+11,中信证券股份有限公司,08D39EC855,2015-09-16 17:43:21,0,600030.SH
1644,20150908,20150831,1,1487069200.0,455485000.0,455485000.0,84779118600.0,84779118600.0,国泰君安证券股份有限公司,2024680,2015-09-16 17:42:23,0,601211.SH
1646,20150605,20150531,1,2365300062.76,1066486462.61,1066486462.61,38353410430.0,38353410430.0,华泰证券股份有限公司,2002077,2015-09-16 17:42:32,0,601688.SH
1648,20150605,20150531,1,1960918100.0,1315099000.0,1315099000.0,32566385600.0,32566385600.0,东方证券股份有限公司,2002156,2015-09-16 17:42:39,0,600958.SH
1651,20150605,20150531,1,1073450900.0,653340200.0,653340200.0,32154507600.0,32154507600.0,方正证券股份有限公司,2002179,2015-09-16 17:42:30,0,601901.SH
1654,20150605,20150531,1,907904400.0,394970800.0,394970800.0,15760922000.0,15760922000.0,兴业证券股份有限公司,2023060,2015-09-16 17:43:39,0,601377.SH
1656,20150605,20150531,1,3250172200.0,1631731700.0,1631731700.0,37383338700.0,37383338700.0,国信证券股份有限公司,2002075,2015-09-16 17:42:57,0,002736.SZ
1657,20150605,20150531,1,302020600.0,154632500.0,154632500.0,7087783000.0,7087783000.0,太平洋证券股份有限公司,04955EEF73,2015-09-16 17:42:50,0,601099.SH
1658,20150605,20150531,1,2384720000.0,1184870000.0,1184870000.0,84823330000.0,84823330000.0,中信证券股份有限公司,08D39EC855,2015-09-16 17:42:20,0,600030.SH
